wikiStats|id

redirects|6797
r|Templat:Wpbannermeta/istemplate|Templat:WPBannerMeta/istemplate
r|Templat:Country data Republik Sosialis Soviet Uzbekistan|Templat:Country data RSS Uzbekistan
r|Templat:International Club Football|Templat:Sepak bola antarklub internasional
r|Templat:Pengguna susu murni|Templat:Pengguna minum susu
r|Templat:European Free Trade Association (EFTA)|Templat:EFTA
r|Templat:Wikiproject assessment category check/row|Templat:WikiProject assessment category check/row
r|Templat:Infobox Anthem|Templat:Infobox Lagu Kebangsaan
r|Templat:Us federal holidays|Templat:US Federal Holidays
r|Templat:Infobox Language/script|Templat:Infobox Bahasa/script
r|Templat:Kabupaten Selayar|Templat:Kabupaten Kepulauan Selayar
r|Templat:Navigasi as county|Templat:Kotak navigasi county AS
r|Templat:Navboxes colour|Templat:Navboxes berwarna
r|Templat:User jazz|Templat:Pengguna musik jazz
r|Templat:Country data Antigua and Barbuda|Templat:Country data Antigua dan Barbuda
r|Templat:Cite encyclopaedia|Templat:Cite encyclopedia
r|Templat:Kabupaten Batubara|Templat:Kabupaten Batu Bara
r|Templat:Timpah, kapuas|Templat:Timpah, Kapuas
r|Templat:Largest Urban areas|Templat:Kawasan perkotaan terbesar
r|Templat:Infobox Artery|Templat:Infobox Arteri
r|Templat:Asam dan basas|Templat:Asam dan basa
r|Templat:Bangunan infrastruktur masa depan|Templat:Bangunan yang dibangun
r|Templat:Deputy Prime Ministers of Malaysia|Templat:Wakil Perdana Menteri Malaysia
r|Templat:Country data Cote d'Ivoire|Templat:Country data Pantai Gading
r|Templat:Colbegin|Templat:Div col
r|Templat:Yaniruma, boven digoel|Templat:Yaniruma, Boven Digoel
r|Templat:Country data Turkey|Templat:Country data Turki
r|Templat:Kahayan Tengah|Templat:Kahayan Tengah, Pulang Pisau
r|Templat:Country data British Virgin|Templat:Country data Kepulauan Virgin Britania Raya
r|Templat:Babelbox-5|Templat:Babel-box
r|Templat:Islam/Hari besar|Templat:Islam/Artikel pilihan
r|Templat:Pengguna mozilla|Templat:Pengguna Mozilla
r|Templat:AksaraBali infobox|Templat:Hanacaraka infobox
r|Templat:Football squad mid|Templat:Fs mid
r|Templat:Ulumul qur'an|Templat:Ulumul Qur'an
r|Templat:Kepala pemerintahan amerika serikat|Templat:Kepala negara amerika serikat
r|Templat:Linknote|Templat:Link note
r|Templat:Az|Templat:Az icon
r|Templat:HariIniDalamSejarah/4 Agustus|Templat:Hari Ini Dalam Sejarah/Agustus
r|Templat:Bungus Teluk Kabung|Templat:Bungus Teluk Kabung, Padang
r|Templat:Red|Templat:Merah
r|Templat:Country data Georgia (country)|Templat:Country data Georgia
r|Templat:Prinsip dasar wikipedia|Templat:Prinsip dasar Wikipedia
r|Templat:Pesantren di Jember|Daftar pesantren di Kabupaten Jember
r|Templat:Country data Colombia|Templat:Country data Kolombia
r|Templat:NYCS Sixth south|Templat:NYCS Sixth Rutgers
r|Templat:Skuat EURO2004 Bulgaria|Templat:Skuat Piala Eropa 2004 Bulgaria
r|Templat:Kitab-kitab Perjanjian Baru|Templat:Kitab-kitab Alkitab
r|Templat:Convert/LoffAonD/Soff|Templat:Convert/LoffAonDsSoff
r|Templat:Vpisah|Templat:VPisah
r|Templat:Juventus F.C. squad|Templat:Skuat Juventus F.C.
r|Templat:Infobox Biografi|Templat:Infobox Person
r|Templat:Partai politik Indonesia terdahulu|Templat:Parpol2009
r|Templat:Transportasi air-stub|Templat:Kapal-stub
r|Templat:Monako-geo-stub|Templat:Monako-stub
r|Templat:Completed|Templat:Komplet
r|Templat:Yes|Templat:Ya
r|Templat:Other people|Templat:Orang lain
r|Templat:User ibu|Templat:Pengguna ibu
r|Templat:Amerika serikat-stub|Templat:AS-stub
r|Templat:TerimaKasihDukungannya|Pengguna:Ariyanto/terima kasih
r|Templat:Skuad PD2010 Afrika Selatan|Templat:Skuat PD2010 Afrika Selatan
r|Templat:Infobox anthem|Templat:Infobox Lagu Kebangsaan
r|Templat:Navbar|Templat:Tnavbar
r|Templat:Country data Kingdom of the Netherlands|Templat:Country data Kerajaan Belanda
r|Templat:Pengguna unsur emas|Templat:Pengguna unsur logam
r|Templat:Advert|Templat:Iklan
r|Templat:WikimediaForPortals|Templat:Wikimedia for portals
r|Templat:Shalat|Templat:Salat
r|Templat:Country data LBA|Templat:Country data Libya
r|Templat:Editprotected|Templat:Edit protected
r|Templat:Province of Benevento|Templat:Provinsi Benevento
r|Templat:Football manager list entry|Templat:Football manager history/entry
r|Templat:JamesBond|Templat:Bond movies
r|Templat:Gunung Tanjung, Tasikmalaya|Templat:Gunungtanjung, Tasikmalaya
r|Templat:Cc-dengan-sa-2.0|Templat:Cc-by-sa-2.0
r|Templat:Country data ACE|Templat:Country data Kesultanan Aceh
r|Templat:Country flaglink right|Templat:Flagright/core
r|Templat:Infobox royalty|Templat:Infobox Royalty
r|Templat:Tigi, deiyai|Templat:Tigi, Deiyai
r|Templat:Country data SPM|Templat:Country data Saint Pierre dan Miquelon
r|Templat:Wates, kediri|Templat:Wates, Kediri
r|Templat:HP character|Templat:Infobox Harry Potter
r|Templat:KualifikasiPD2002|Templat:Kualifikasi PD2002
r|Templat:Country data Andora|Templat:Country data Andorra
r|Templat:Jeolla selatan|Templat:Jeolla Selatan
r|Templat:Tirtoyudo, malang|Templat:Tirtoyudo, Malang
r|Templat:StatusSecure|Templat:StatusAman
r|Templat:Kotakinfo provinsi|Templat:Kotak info provinsi Indonesia
r|Templat:Catdiffuse|Templat:Pecah kategori
r|Templat:Triad Yunani|Templat:Grup Dewa Yunani
r|Templat:Infobox Paus|Templat:Infobox Pope
r|Templat:Infobox F1 team|Templat:Infobox tim F1
r|Templat:Cities and towns in Armenia|Templat:Kota di Armenia
r|Templat:Country data ENG|Templat:Country data Inggris
r|Templat:Country data Congo|Templat:Country data Republik Kongo
r|Templat:Pindahke/Wikisource|Templat:Pindah/Wikisource
r|Templat:Sanaman Mantikei|Templat:Sanaman Mantikei, Katingan
r|Templat:NowCommonsThis|Templat:NowCommons
r|Templat:Pecandu Sejarah Tiongkok|Templat:Pengguna Sejarah Tiongkok
r|Templat:Pengguna GTalk|Templat:Pengguna Google Talk
r|Templat:Country data Makau, Cina|Templat:Country data Makau
r|Templat:KYR|Templat:KGZ
r|Templat:Wikipedia fauna|Templat:WikiFauna
r|Templat:Seribu Riam|Templat:Seribu Riam, Murung Raya
r|Templat:Wakil perdana menteri malaysia|Templat:Wakil Perdana Menteri Malaysia
r|Templat:S-line/CityRail regional left/South Coast|Templat:S-line/CityRail left/South Coast
r|Templat:Skuat AZ|Templat:Skuat AZ Alkmaar
r|Templat:Country data Cambodia|Templat:Country data Kamboja
r|Templat:PD-author|Templat:DU-Pembuat
r|Templat:Lemah Abang, Karawang|Templat:Lemahabang, Karawang
r|Templat:Pharaoh Infobox|Templat:Infobox pharaoh
r|Templat:Infobox Canton|Templat:Infobox Kanton
r|Templat:Pengguna virgo|Templat:Pengguna Virgo
r|Templat:Zambalas|Templat:Zambales
r|Templat:U.S. Secretary box|Templat:U.S. Cabinet Official box
r|Templat:Provinces of Costa Rica|Templat:Provinsi di Kosta Rika
r|Templat:Country data FRA|Templat:Country data Perancis
r|Templat:TM Infobox|Templat:TMH Infobox
r|Templat:Pengguna hipnotisme|Templat:Pengguna hipnosis
r|Templat:Lotr|Templat:The Lord of the Rings
r|Templat:NGR|Templat:NGA
r|Templat:Daftarnegara|Templat:Daftartopiknegara
r|Templat:Country data North Yemen|Templat:Country data Yaman Utara
r|Templat:HariIniDalamSejarah/26 Februari|Templat:Hari Ini Dalam Sejarah/Februari
r|Templat:Country data CHA|Templat:Country data Chad
r|Templat:HariIniDalamSejarah/12 Oktober|Templat:Hari Ini Dalam Sejarah/Oktober
r|Templat:Babelbox/sandbox|Templat:Babel-box
r|Templat:N-warn|Pengguna:Ariyanto/nn-warn
r|Templat:Pengguna yang bisa membaca abjad Arab|Templat:Pengguna yang bisa membaca aksara Arab
r|Templat:Infobox Airbus Aircraft|Templat:Kotakinfo pesawat Airbus
r|Templat:PD-release|Templat:DU-Pembuat
r|Templat:Negara bagian Australia|Templat:Australia
r|Templat:HariIniDalamSejarah/4 Juli|Templat:Hari Ini Dalam Sejarah/Juli
r|Templat:Timur tengah|Templat:Timur Tengah
r|Templat:Pengguna pecandu susu kacang|Templat:Pengguna susu kacang
r|Templat:Tasik Payawan|Templat:Tasik Payawan, Katingan
r|Templat:Tanpalisensi|Templat:Tanpa lisensi
r|Templat:Plainlinks|Templat:Plainlink
r|Templat:Infobox Russian town|Templat:Infobox Russian city
r|Templat:Indonesian Idol Series|Templat:Indonesian Idol
r|Templat:Papua/Provinsi|Templat:Pulau Papua/Provinsi
r|Templat:Country data Kota Vatikan|Templat:Country data Vatikan
r|Templat:BintangWiki Star Trek|Templat:Starfleet Admiral
r|Templat:Pesawat Dassault|Templat:Dassault
r|Templat:Country data CAY|Templat:Country data Kepulauan Cayman
r|Templat:Tanjung Priok, Jakarta Utara|Templat:Kota Jakarta Utara
r|Templat:Aksara bali|Templat:Aksara Bali
r|Templat:Country data BLM|Templat:Country data Saint-Barthélemy
r|Templat:Country data Republik Sosialis Soviet Georgia|Templat:Country data RSS Georgia
r|Templat:Country data BWA|Templat:Country data Botswana
r|Templat:Country data Byelorussian Soviet Socialist Republic|Templat:Country data RSS Byelorusia
r|Templat:Bio-hindu-stub|Templat:Hindu-bio-stub
r|Templat:Nasrani|Templat:Kristen
r|Templat:Infobox universitas|Templat:Infobox Universitas
r|Templat:Naratif|Templat:Rapikan-naratif
r|Templat:Banjarsari, Surakarta|Templat:Surakarta
r|Templat:Infobox Athleticrace|Templat:Infobox athletics race
r|Templat:Current death|Templat:Recent death
r|Templat:Infobox region|Templat:Infobox settlement
r|Templat:Other places|Templat:Tempat lain
r|Templat:Infobox Politician|Templat:Infobox Officeholder
r|Templat:Wpbannermeta/hooks/peerreview|Templat:WPBannerMeta/hooks/peerreview
r|Templat:PAP|Templat:PNG
r|Templat:Uspplmver|Templat:USpplmver
r|Templat:WidyawanDewasa|Templat:Pengguna WidyawanDewasa
r|Templat:User min-ma-2|Templat:User min-2
r|Templat:Menterinegara|Templat:Menteriwn
r|Templat:Jakarta Timur|Templat:Kota Jakarta Timur
r|Templat:POR|Templat:PRT
r|Templat:TIO|Templat:CHN
r|Templat:Medis|Templat:Kedokteran
r|Templat:Emilia-Romagna|Templat:Emilia–Romagna
r|Templat:Silver medal|Templat:Perak
r|Templat:Skuat Atalanta|Templat:Skuat Atalanta B.C.
r|Templat:Pengguna Meg Cabot|Templat:Pengguna penggemar Meg Cabot
r|Templat:Country data Prefektur Ishikawa|Templat:Country data Ishikawa
r|Templat:Infobox spesies pokémon|Templat:Infobox spesies Pokémon
r|Templat:Britania-bio-stub|Templat:BritaniaRaya-bio-stub
r|Templat:Location map Russia Komi Republic|Templat:Location map Rusia Republik Komi
r|Templat:World heritage sites in mexico|Templat:World Heritage Sites in Mexico
r|Templat:KBBID2|Templat:KBBI daring2
r|Templat:Non-free video cover|Templat:SampulVideo
r|Templat:Infobox Senator|Templat:Infobox Officeholder
r|Templat:Location map Edinburgh|Templat:Location map United Kingdom Edinburgh
r|Templat:ASEAN ParaGames|Templat:SEA Games
r|Templat:Country data DKI|Templat:Country data Daerah Khusus Ibukota Jakarta
r|Templat:Hapus|Templat:Penghapusan
r|Templat:Vgabung|Templat:VGabung
r|Templat:Kotak info kota|Templat:Infobox settlement
r|Templat:Infobox weather/colt|Templat:Infobox Weather/colt
r|Templat:Guinea-Bissau-geo-stub|Templat:GuineaBissau-geo-stub
r|Templat:Britania-stub|Templat:BritaniaRaya-stub
r|Templat:Thumb up|Templat:Thumbs up
r|Templat:Terjemah-inggris|Templat:Terjemah-Inggris
r|Templat:Country data South Carolina|Templat:Country data Carolina Selatan
r|Templat:Infobox animanga/Video|Templat:Kotakinfo animanga/Video
r|Templat:Terorisme perang irak|Templat:Terorisme Perang Irak
r|Templat:S-line/Delhi Metro left/Yellow|Templat:S-line/Delhi Metro left/Kuning
r|Templat:Country data Aichi Prefecture|Templat:Country data Aichi
r|Templat:Template doc page viewed directly|Templat:Subhalaman dokumentasi
r|Templat:CAY|Templat:CYM
r|Templat:Convert/and/AonSoff|Templat:Convert/hingga/AonSoff
r|Templat:Kriminal-stub|Templat:Hukum-stub
r|Templat:Infobox font|Templat:Infobox typeface
r|Templat:Huruf|Templat:Jenis aksara
r|Templat:Sistem Kalender|Templat:Kalender
r|Templat:CRC|Templat:CRI
r|Templat:Bangunandanstrukturbenua|Templat:Bangunan dan struktur kawasan
r|Templat:University-stub|Templat:Universitas-stub
r|Templat:Skuat Feyenoord|Templat:Skuat Feyenoord Rotterdam
r|Templat:Western line black|Templat:Western Line black
r|Templat:Country data African Union|Templat:Country data Uni Afrika
r|Templat:LN Indonesia|Templat:Hubungan luar negeri Indonesia
r|Templat:Wpbannermeta/templatepage/checkcat|Templat:WPBannerMeta/templatepage/checkcat
r|Templat:Lse2|Templat:LSE
r|Templat:Country data MGL|Templat:Country data Mongolia
r|Templat:Navigation Template|Templat:Navbox
r|Templat:UDP|Templat:Undangan diskusi/preload
r|Templat:Location map London Raya|Templat:Location map United Kingdom Greater London
r|Templat:HariIniDalamSejarah/27 Agustus|Templat:Hari Ini Dalam Sejarah/Agustus
r|Templat:AntarktikaB-geo-stub|Templat:Antarktika-stub
r|Templat:Base tanpapenerjemahan|Templat:Tidak diterjemahkan
r|Templat:Infobox Mountain|Templat:Infobox Gunung
r|Templat:Amerika Serikat-geo-stub|Templat:AS-geo-stub
r|Templat:ISkul Musikal (Serial TV)|Templat:ISkul Musikal
r|Templat:Country data CXR|Templat:Country data Pulau Natal
r|Templat:Startdate|Templat:Tanggal mulai
r|Templat:Country data St. Lucia|Templat:Country data Saint Lucia
r|Templat:Infobox sepak bola Ligina|Templat:Kotak info klub sepak bola
r|Templat:Base tanpalisensi|Templat:Tidak diberi lisensi
r|Templat:Country data GIN|Templat:Country data Guinea
r|Templat:Not OK|Templat:NotOK
r|Templat:Uzbf|Templat:UZBf
r|Templat:Guinean political parties|Templat:Parpol Guinea
r|Templat:HariIniDalamSejarah/6 Februari|Templat:Hari Ini Dalam Sejarah/Februari
r|Templat:Country data MCO|Templat:Country data Monako
r|Templat:Infobox disease|Templat:Infobox Disease
r|Templat:SPA|Templat:ESP
r|Templat:Country data United States|Templat:Country data Amerika Serikat
r|Templat:50 largest US banks|Templat:50 bank terbesar AS
r|Templat:Piala Dunia FIFA 2010|Templat:Piala Dunia 2010
r|Templat:Pengguna teknologi|Templat:Pengguna Teknologi
r|Templat:S-line/Delhi Metro left/Blue|Templat:S-line/Delhi Metro left/Biru
r|Templat:Kabupaten Yapen Waropen|Templat:Kabupaten Kepulauan Yapen
r|Templat:Location map Republic of the Congo|Templat:Location map Republik Kongo
r|Templat:Provinsithailand|Templat:Provinsi di Thailand
r|Templat:Ujung jaya, sumedang|Templat:Ujung Jaya, Sumedang
r|Templat:Country data UKGBI|Templat:Country data Kerajaan Bersatu Britania Raya dan Irlandia
r|Templat:Kosovorecognition|Templat:Numrec/Kos
r|Templat:Minuman-indonesia-stub|Templat:Makanan-indo-stub
r|Templat:Babel-5|Templat:Babel
r|Templat:Location map West Midlands|Templat:Location map United Kingdom West Midlands
r|Templat:Infobox Writing system|Templat:Infobox writing system
r|Templat:Portal:Kristen/Lokasi Pilihan|Portal:Kristen/Lokasi Pilihan
r|Templat:Country IOC alias ROM|Templat:Country IOC alias ROU
r|Templat:Awalanlombaf1|Templat:AwalanLombaF1
r|Templat:Fisikawannobelwn|Templat:Nobelwn
r|Templat:Infobox Korean name|Templat:Nama Korea
r|Templat:Welcomer's barnstar|Templat:Welcomer's Barnstar
r|Templat:SAU|Templat:KSA
r|Templat:DaftarKeretaApi|Templat:Daftar kereta api di Indonesia
r|Templat:Country data BLR|Templat:Country data Belarus
r|Templat:Country data Japan|Templat:Country data Jepang
r|Templat:Nat fs end|Templat:Fs end
r|Templat:Country data ANG|Templat:Country data Angola
r|Templat:Srono|Templat:Srono, Banyuwangi
r|Templat:IPA-ltc|Templat:IPA-all
r|Templat:TYO|Templat:Tyo
r|Templat:Memetik web|Templat:Cite web
r|Templat:Politics of France|Templat:Politik Perancis
r|Templat:Indonesia Premier League|Templat:Liga Primer Indonesia
r|Templat:Kendaraan-stub|Templat:Otomotif-stub
r|Templat:HariIniDalamSejarah/15 Juli|Templat:Hari Ini Dalam Sejarah/Juli
r|Templat:Country data GRD|Templat:Country data Grenada
r|Templat:The 1994 group|Templat:The 1994 Group
r|Templat:Pengguna Guru|Templat:Pengguna guru
r|Templat:Anime voice/doc|Templat:Anime voices/doc
r|Templat:SeahawksCoach|Templat:Pelatih Seattle Seahawks
r|Templat:Country data GNB|Templat:Country data Guinea-Bissau
r|Templat:Sukun, Kota Malang|Templat:Sukun, Malang
r|Templat:Timnas sepak bola wanita|Templat:Tnw
r|Templat:Wikipedia ipa|Templat:Wikipedia IPA
r|Templat:Nama korea|Templat:Nama Korea
r|Templat:Warner bros. animation|Templat:Warner Bros. Animation
r|Templat:Titi dj|Templat:Titi DJ
r|Templat:Commonwealth Youth Games|Templat:Commonwealth Games
r|Templat:Country data LUX|Templat:Country data Luksemburg
r|Templat:Kecamatan Palu Utara|Templat:Palu Utara, Palu
r|Templat:Navbox generic|Templat:Navbox
r|Templat:Facebook user|Templat:Facebook
r|Templat:Kotakinfo animanga/Anime|Templat:Kotakinfo animanga/Video
r|Templat:Help me-helped|Templat:Ditolong
r|Templat:Buddhisme-stub|Templat:Buddha-stub
r|Templat:Bentang alam provinsi|Templat:Kategori provinsi Indonesia
r|Templat:See also/doc|Templat:Seealso/doc
r|Templat:Country data Prefektur Saitama|Templat:Country data Saitama
r|Templat:Infobox former country|Templat:Infobox Former Country
r|Templat:Waru, sidoarjo|Templat:Waru, Sidoarjo
r|Templat:Infobox Movie|Templat:Infobox Film
r|Templat:Infobox Language/map|Templat:Infobox Bahasa/map
r|Templat:Country data GUA|Templat:Country data Guatemala
r|Templat:Kabupaten Muko-Muko|Templat:Kabupaten Mukomuko
r|Templat:Daftar walikota medan|Templat:Wali kota Medan
r|Templat:Sekolah Menengah Atas di Indonesia|Templat:SMA di Indonesia
r|Templat:Country data Makao|Templat:Country data Makau
r|Templat:Divisi utama li|Templat:Divisi Utama Liga Indonesia
r|Templat:Chilton County, Alabama|Templat:County Chilton, Alabama
r|Templat:Country data NCL|Templat:Country data Kaledonia Baru
r|Templat:HariIniDalamSejarah/25 Juli|Templat:Hari Ini Dalam Sejarah/Juli
r|Templat:Tokoh Korea-stub|Templat:Korea-bio-stub
r|Templat:Infobox road/NV/shield SR|Templat:Infobox road/NV/shield NV
r|Templat:Referensi|Templat:Tanpa referensi
r|Templat:Tenggarong seberang, kutai kartanegara|Templat:Tenggarong Seberang, Kutai Kartanegara
r|Templat:Teritori luar negara eropa|Templat:Teritori luar negara Eropa
r|Templat:US Highways|Templat:U.S. Routes
r|Templat:BES|Templat:BEI
r|Templat:Country data Prefektur Okayama|Templat:Country data Okayama
r|Templat:HariIniDalamSejarah/1 September|Templat:Hari Ini Dalam Sejarah/September
r|Templat:HariIniDalamSejarah/20 Desember|Templat:Hari Ini Dalam Sejarah/Desember
r|Templat:Grup Visegrád|Templat:Visegrad
r|Templat:Campaignbox Persian Gulf Wars|Templat:Perangtelukpersia
r|Templat:English district area rank|Templat:Peringkat luas distrik Inggris
r|Templat:Cimanggu, Sumedang|Templat:Cimanggung, Sumedang
r|Templat:Energy-stub|Templat:Energi-stub
r|Templat:Negara dan teritori yang berbatasan dengan Laut Mediterania|Templat:Negara yang berbatasan dengan Laut Tengah
r|Templat:NJT color|Templat:NJT line color
r|Templat:Url|Templat:URL
r|Templat:KotakTaksonomi phylum entry|Templat:Taxobox
r|Templat:Abugida|Templat:Jenis aksara
r|Templat:Unk|Templat:Unknown
r|Templat:Kepulauan Marshall-bio-stub|Templat:Marshall-bio-stub
r|Templat:Future infrastructure|Templat:Bangunan yang dibangun
r|Templat:MES|Templat:EGY
r|Templat:Christianity-stub|Templat:Kristen-stub
r|Templat:USAF Weapons|Templat:USAF weapons
r|Templat:Vnum|Templat:VNUM
r|Templat:Sq icon|Templat:Sq
r|Templat:Terjemahan alkitab|Templat:Terjemahan Alkitab
r|Templat:Benderanasional|Templat:Bendera nasional
r|Templat:Pengguna kota Salatiga|Templat:Pengguna Salatiga
r|Templat:Hidden begin-end|Templat:Hidden begin
r|Templat:Negara dan teritori di Timur Tengah|Templat:Timur Tengah
